source_name,source_type,extraction_method,url_pattern,document_count,extraction_date,transformation_steps,data_format,storage_location
GitHub API,Web/API,REST API call,https://api.github.com/search/repositories,10,2025-12-08,"Text cleaning, tokenization, metadata creation",Unstructured Text → Structured CSV,outputs/text/
BBC News RSS,Web/API,RSS feed parsing,http://feeds.bbci.co.uk/news/rss.xml,5,2025-12-08,"Text cleaning, tokenization, metadata creation",Unstructured Text → Structured CSV,outputs/text/
Wikipedia,Web/API,Web scraping using BeautifulSoup,https://en.wikipedia.org/wiki/*,3,2025-12-08,"Text cleaning, tokenization, metadata creation",Unstructured Text → Structured CSV,outputs/text/
